	S6C2T1	S18C2T4	S2C0T0	S10C1T2	S11C2T2	S12C2T2	S15C1T4	S17C2T4	S19C3T4	S1C0T0	S20C3T4	S23C2T6	S25C3T6	S26C3T6	S30C2T8	S32C3T8	S8C3T1	S13C3T2	S14C3T2	S16C1T4	S21C1T6	S22C1T6	S24C2T6	S3C1T1	S4C1T1	S27C1T8	S28C1T8	S5C2T1	S29C2T8	S31C3T8	S7C3T1	S9C1T2
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2
20	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	2	1	1	2	2	2	2	2	1	1	2	1	1	2	3	2	3
30	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	3	2	2	3	4	3	5
40	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	4	4	4	4	4	4	5	6	5	7
50	2	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	7	8	8	10
60	3	4	4	6	6	6	5	6	5	5	7	6	5	6	6	5	5	7	7	7	7	8	6	8	7	9	8	8	13	11	11	13
70	6	6	6	10	9	9	7	9	8	7	11	11	9	9	8	7	6	9	11	9	10	12	9	12	10	13	12	12	19	16	16	19
80	10	9	8	16	14	14	11	14	14	9	17	16	14	15	12	10	11	13	15	13	15	18	14	16	14	17	16	17	24	20	22	24
90	14	15	10	23	20	19	17	19	20	12	23	21	19	21	17	16	18	18	19	19	21	24	19	20	19	21	21	24	30	25	28	29
95	16	18	11	26	23	22	20	22	23	14	26	24	21	24	19	19	22	21	21	22	24	27	21	22	21	23	23	28	33	27	31	32
99	18	21	14	29	25	24	23	24	25	17	29	26	23	27	21	21	25	23	23	24	26	29	23	24	23	25	25	31	35	29	34	34
100	18	21	14	29	25	24	23	24	25	17	29	26	23	27	21	21	25	23	23	24	26	29	23	24	23	25	25	31	35	29	34	34
